CodigoVenda,CodigoProduto,Descricao,Quantidade,ValorUnitario,ValorTotal
131,1522,TUBOZAN JOELHO 90 ESGOTO 50,3.0,5.22,15.66
131,1512,TUBOZAN TE ESGOTO 50,2.0,12.251,24.502
131,1580,TUBOZAN JOELHO 90 SOLD C/ROSCA 25 X 1/2,6.0,4.0449,24.269
131,1608,TUBOZAN JOELHO 90 SOLD 25,6.0,1.1931,7.159
131,1623,TUBOZAN TE SOLD 25,5.0,2.619,13.095
131,1178,AMANCO ADESIVO PLAST BISN PL 75G,1.0,7.382,7.382
131,1039,"TELHA ANDULADA FS 2,44 X 1,10 X 6MM",1.0,76.213,76.213
131,24,PARAFUSO TELHA CISER C/VED 5/16X110MM,10.0,1.4744,14.744
131,1568,TUBOZAN TUBO SOLD 25 6M,3.0,18.7695,56.309
131,1641,TUBOZAN CAIXA SIF QUAD 100 X 100 X 50,1.0,25.899,25.899
131,1524,TUBOZAN JOELHO 90 ESGOTO 100,2.0,14.23,28.46
132,722,CIMENTO ITAU 50KG,6.0,45.9,275.4
133,1373,AMANCO JOELHO SOLD 90 25MM,10.0,1.160587475,11.61
133,1375,AMANCO LUVA AZUL BUCHA LATAO 25MMX1/2,4.0,12.8674,51.47
133,1641,TUBOZAN CAIXA SIF QUAD 100 X 100 X 50,2.0,26.239369,52.48
133,1090,AMANCO JOELHO 90 SOLD BUCHA LATAO 25MMX1/2 CB,4.0,12.110478,48.44
133,1374,AMANCO TE AZUL BUCHA DE LATAO 25MMX1/2,6.0,20.18413,121.1
133,1629,TUBOZAN CURVA 90 CURTA ESG 40,2.0,6.307540625,12.62
133,1205,AMANCO TE RED ESG SN DN100X50 CB,2.0,35.82683075,71.65
133,1163,AMANCO JOELHO 90 ESG SN DN50 CB,4.0,7.56904875,30.28
133,1623,TUBOZAN TE SOLD 25,2.0,2.6491670625,5.3
133,1093,AMANCO TE ESG SN DN100 CB,2.0,32.042306375,64.08
133,1125,AMANCO TE RED SOLD 50X25MM CB,2.0,27.2485755,54.5
133,1100,AMANCO ADAPT SOLD CTO 50MMX1 1/2 CB,2.0,11.858176375,23.72
133,1208,AMANCO JOELHO 90 ESG SN DN100 CB,2.0,14.125,28.25
134,124,PROLONGADOR DE ACO 3M,1.0,54.048,54.048
134,64,ATLAS ROLO DE TEXTURA RUSTICA 23CM,1.0,47.569,47.569
134,88,GARFO DE PINTURA GAIOLA S/ROSCA ACO 23CM,1.0,10.592,10.592
135,953,PINTURA ASFALTICA ACQUA PRETO 18L QUARTZOLIT,1.0,370.0,370.0
135,469,AGUA RAZ 900ML NATRIELLI,1.0,19.613,19.613
136,939,PARAF MAD PHIL CHATA CHIP 5;0X50MM % - CISER,8.0,0.5432,4.346
136,745,BUCHA PLAST FIXACAO C/ANEL N. 08,8.0,0.1552,1.242
136,437,CANTONEIRA MAO FRANC PESAD 30CM THOMPSON,4.0,17.4503,69.801
136,635,CAL HIDRATADA CH III 20 KG,1.0,18.89,18.89
136,722,CIMENTO ITAU 50KG,5.0,45.9,229.5
140,270,DISCO DIAM 105MMX20MM PORCELANATO,1.0,23.852,23.852
141,2065,CABO DE ENXADA 150MT,1.0,11.5,11.5
141,888,MAXNORTH MASSA P.V.A. 20 KG CX,5.0,37.1025,185.513
141,887,MAXNORTH TEXTURA ACRIL ECO BC NEVE 20 KG CX,5.0,84.1766,420.883
145,722,CIMENTO ITAU 50KG,3.0,45.9,137.7
146,745,BUCHA PLAST FIXACAO C/ANEL N. 08,231.0,0.15974026,36.9
147,54,VAP PRUMO PAREDE METAL 400GR,1.0,35.492,35.492
148,1571,TUBOZAN TUBO SOLD 50 6M,1.0,87.872,87.872
148,722,CIMENTO ITAU 50KG,2.0,45.9,91.8
149,722,CIMENTO ITAU 50KG,6.0,45.9,275.4
151,2090,"PINTURA ASFALTICA ACQUA 3,6L",2.0,110.0,220.0
152,2018,ABRAC TIPO D 1/2  C/CUNHA,10.0,1.24,12.4
152,745,BUCHA PLAST FIXACAO C/ANEL N. 08,10.0,0.1552,1.552
152,1567,TUBOZAN TUBO SOLD DE 20 6M,4.0,17.6,70.4
152,793,KRONA LUVA AZUL BUCHA DE LATAO 20MMX1/2,1.0,10.059,10.059
152,176,ADESIVO PLAST 17G,1.0,2.26,2.26
152,1166,AMANCO JOELHO 90 SOLD 20MM CB,3.0,1.7266,5.18
152,939,PARAF MAD PHIL CHATA CHIP 5;0X50MM % - CISER,10.0,0.5432,5.432
153,722,CIMENTO ITAU 50KG,300.0,45.9,13770.0
154,56,VAP VASSOURAO GARI ROBUSTO 28CM C/CABO,1.0,46.5,46.5
155,635,CAL HIDRATADA CH III 20 KG,15.0,18.89,283.35
155,1335,"TRELICA TG8L 6/4,2/4,2MM 12M",3.0,106.603,319.809
155,722,CIMENTO ITAU 50KG,20.0,45.49,909.8
157,1496,TUBOZAN TUBO ESGOTO 40 SN  6M,2.0,35.0,70.0
157,1568,TUBOZAN TUBO SOLD 25 6M,2.0,17.415,34.83
157,1504,TUBOZAN JOELHO 45 ESGOTO 40,1.0,4.076,4.076
157,1511,TUBOZAN TE ESGOTO 40,3.0,4.902,14.706
157,1526,TUBOZAN TE REDUCAO ESGOTO 100 X 50,3.0,23.9982,71.995
157,796,CAIXA SIF KRONA QUADRADA BRANCA 150MM,1.0,56.953,56.953
157,1524,TUBOZAN JOELHO 90 ESGOTO 100,10.0,13.9365,139.365
157,1630,TUBOZAN CURVA 90 CURTA ESG 50,8.0,15.5325,124.26
